MYEAR	SDATE	STIME	SHIPC	SHARKID_MD5	STATN	LATIT_DD	LONGI_DD	SEA_AREA_CODE	SEA_AREA_NAME	SEA_BASIN	WATER_DISTRICT	WATER_TYPE_AREA	WLTYP	MNDEP	MXDEP	BIOV_CONC_ALL	Q_BIOV_CONC_ALL
2016	2016-06-06		77SN	b3c1d9594c90b70ebe9b151def281692	HAVSTENSFJORD	58.31250	11.77330	581740-114820	Havstensfjorden	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.468753296	
2016	2016-06-06		77SN	f4a37eae4b90322682976b536e9f8942	INSTÖ RÄNNA	57.90117	11.66667	575500-113750	Älgöfjorden	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	0	10	0.256299258	
2016	2016-06-06		77SN	19a209f2776bedaa79269c9b820bd1d0	KOLJÖFJORD	58.23000	11.58000	581260-113220	Koljö fjord	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.57245309199	
2016	2016-06-06		77SN	9307913761b665fb54a084212661eb6d	SKALKORGARNA	57.67883	11.76833	574050-114780	Rivö fjord		Västerhavets vattendistrikt	25 - Göta älvs- och Nordre älvs estuarie	1 - Estuarie (övergångsvatten)	0	10	0.6136240243	
2016	2016-06-06		77SN	eb5e1cc53ed493ac3b39a26e652e43bd	ÅSTOL	57.91970	11.59330	575340-113000	Marstrandsfjorden	Skagerrak	Västerhavets vattendistrikt	03 - Västkustens yttre kustvatten. Skagerrak	2 - Havsområde innanför 1 NM	0	10	0.6404857423	
2016	2016-05-20		34AR	384390b2409077d903f27ac4b049b6d0	SLÄGGÖ	58.25830	11.43330	581700-113000	Gullmarn centralbassäng	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.4003360856	
2016	2016-05-03		77SN	1e73408ae3c8d3ce4b52256d8bf26197	BYTTELOCKET	58.35333	11.24000	582147-111771	Kungshamn s skärgård	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	0	10	0.4343934638	
2016	2016-05-03		77NE	9b44ae76778637997dd9297d66950a8f	KOSTERFJORDEN (NR16)	58.86830	11.10330	585100-110600	S Kosterfjorden	Skagerrak	Västerhavets vattendistrikt	03 - Västkustens yttre kustvatten. Skagerrak	2 - Havsområde innanför 1 NM	0	10	0.892692004	
2016	2016-05-03		77SN	e8d186717da21261ffb04cf787e82ccf	SLÄGGÖ	58.25830	11.43330	581700-113000	Gullmarn centralbassäng	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.1939117523	
2016	2016-05-02		77SN	c6188ac61c3010bd3795e06d9b5be7aa	DANAFJORD	57.66750	11.68670	574000-114230	Dana fjord	N Kattegatt	Västerhavets vattendistrikt	01s - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	0	10	0.389783569	
2016	2016-05-02		77SN	230dd2fb45d79efb106f397ed9e21a7c	GALTERÖ	58.10917	11.81000	580688-114860	Halsefjorden	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.317467551	
2016	2016-05-02		77SN	ebb6c7569d86cdcef97172841eda4449	HAVSTENSFJORD	58.31250	11.77330	581740-114820	Havstensfjorden	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.4363563468	
2016	2016-05-02		77SN	4b2778d71fd2f4368b6d1230fe3a412d	INSTÖ RÄNNA	57.90117	11.66667	575500-113750	Älgöfjorden	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	0	10	0.238144618	
2016	2016-05-02		77SN	3784efe0ba4fd01df9f6f7653547c41b	KOLJÖFJORD	58.23000	11.58000	581260-113220	Koljö fjord	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.111760168	
2016	2016-05-02		77SN	b276283e58b3a934956fd82763fdbbee	SKALKORGARNA	57.67883	11.76833	574050-114780	Rivö fjord		Västerhavets vattendistrikt	25 - Göta älvs- och Nordre älvs estuarie	1 - Estuarie (övergångsvatten)	0	10	0.3037936092	
2016	2016-05-02		77SN	37e59ceb16bc7a955019bd8422ddb055	ÅSTOL	57.91970	11.59330	575340-113000	Marstrandsfjorden	Skagerrak	Västerhavets vattendistrikt	03 - Västkustens yttre kustvatten. Skagerrak	2 - Havsområde innanför 1 NM	0	10	0.631681292	
2016	2016-04-22		34AR	937095bf1f3210ad8c39dab1f7458d89	SLÄGGÖ	58.25830	11.43330	581700-113000	Gullmarn centralbassäng	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.1557610052	
2016	2016-04-05		77NE	bd8c4ef34293139fe6cc88ba0dff1359	KOSTERFJORDEN (NR16)	58.86830	11.10330	585100-110600	S Kosterfjorden	Skagerrak	Västerhavets vattendistrikt	03 - Västkustens yttre kustvatten. Skagerrak	2 - Havsområde innanför 1 NM	0	10	0.531222063	
2016	2016-04-05		77SN	fad784c926f7e2b14ee659f90cc9af9a	SLÄGGÖ	58.25830	11.43330	581700-113000	Gullmarn centralbassäng	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.2411057971	
