BIOV_CONC_ALL	DEPH_count	POSITION	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	new_index
0.229823088	0	62.84_18.02	0.21		2015-07-29	HIGH	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.9492625388446613	3	0.913746316035924	3_SE625000-180075
0.14418941	0	62.83_18.05	0.21		2015-08-11	HIGH	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	1.0	4	1.0	4_SE625000-180075
0.194878039	0	62.84_18.00	0.21		2015-08-11	HIGH	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	1.0	5	1.0	5_SE625000-180075
0.535216829	0	62.81_18.12	0.21		2016-07-05	MODERATE	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.5451088990327694	6	0.39236434398440784	6_SE625000-180075
1.0120423438	0	62.83_18.05	0.21		2016-07-05	POOR	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.35937649902509944	7	0.2075011992200795	7_SE625000-180075
0.353469297	0	62.84_18.00	0.21		2016-07-26	GOOD	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.737248578137669	8	0.5941110070445524	8_SE625000-180075
0.4126415178	0	62.84_18.08	0.21		2016-07-26	GOOD	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.6561107746792303	9	0.5089163134131919	9_SE625000-180075
0.786099706	0	62.82_18.09	0.21		2016-08-23	MODERATE	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.42584922376246254	10	0.26714168495058566	10_SE625000-180075
0.4688043565	0	62.85_18.03	0.21		2016-08-23	MODERATE	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.5980457673376713	11	0.4479480557045548	11_SE625000-180075
1.7162774	0	62.87_18.33	0.21		2015-07-09	POOR	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.2529473032739346	0	0.12235784261914769	0_SE628750-183300
1.283789881	0	62.87_18.33	0.21		2015-07-29	POOR	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.3044727130856705	1	0.16357817046853637	1_SE628750-183300
3.8199307149	0	62.87_18.33	0.21		2015-08-11	BAD	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.1374370477328785	2	0.0549748190931514	2_SE628750-183300
1.3674905313	0	62.87_18.33	0.21		2016-07-05	POOR	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.29195745344609836	3	0.15356596275687864	3_SE628750-183300
5.113441568	0	62.88_18.33	0.21		2016-07-26	BAD	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.10267057773485835	4	0.04106823109394334	4_SE628750-183300
4.598238262	0	62.87_18.33	0.21		2016-08-23	BAD	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.11417416194776556	5	0.04566966477910622	5_SE628750-183300
0.630444734	0	63.22_18.76	0.21		2015-07-08	MODERATE	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.48866494317372744	0	0.3330981903324138	0_SE631346-184241
1.0216362115	0	63.23_18.71	0.21		2015-07-08	POOR	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.35694077504808575	1	0.20555262003846855	1_SE631346-184241
0.646780846	0	63.21_18.71	0.21		2015-07-28	MODERATE	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.4806523235493942	2	0.32468493972686385	2_SE631346-184241
1.43549613	0	63.23_18.74	0.21		2015-07-28	POOR	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.28286360688412304	3	0.14629088550729843	3_SE631346-184241
